TITLE,RELEASED,IMDB__RATING,IMDB__VOTES,GENRES,partition_date
Pinocchio,2013-02-19 16:00:00-08:00,5.9,152.0,Animation,2013-02-01
Oz the Great and Powerful,2013-03-07 16:00:00-08:00,6.4,166093.0,Family,2013-03-01
Oz the Great and Powerful,2013-03-07 16:00:00-08:00,6.4,166093.0,Adventure,2013-03-01
Saheb Biwi Aur Gangster Returns,2013-03-07 16:00:00-08:00,6.9,2623.0,Drama,2013-03-01
Oz the Great and Powerful,2013-03-07 16:00:00-08:00,6.4,166093.0,Fantasy,2013-03-01
Saheb Biwi Aur Gangster Returns,2013-03-07 16:00:00-08:00,6.9,2623.0,Crime,2013-03-01
Saheb Biwi Aur Gangster Returns,2013-03-07 16:00:00-08:00,6.9,2623.0,Action,2013-03-01
G.I. Joe: Retaliation,2013-03-27 17:00:00-07:00,5.8,135182.0,Sci-Fi,2013-03-01
Rubinrot,2013-03-13 17:00:00-07:00,6.1,4133.0,Mystery,2013-03-01
Olympus Has Fallen,2013-03-21 17:00:00-07:00,6.5,177080.0,Thriller,2013-03-01
Ip Man: The Final Fight,2013-03-27 17:00:00-07:00,6.1,5607.0,Biography,2013-03-01
Kick-Heart,2013-04-30 17:00:00-07:00,7.1,240.0,Animation,2013-04-01
Room 8,2013-04-23 17:00:00-07:00,8.0,762.0,Short,2013-04-01
Room 8,2013-04-23 17:00:00-07:00,8.0,762.0,Fantasy,2013-04-01
Iron Man: Rise of Technovore,2013-04-08 17:00:00-07:00,5.2,2666.0,Sci-Fi,2013-04-01
Pain & Gain,2013-04-25 17:00:00-07:00,6.5,147744.0,Comedy,2013-04-01
Kick-Heart,2013-04-30 17:00:00-07:00,7.1,240.0,Action,2013-04-01
The Brass Teapot,2013-04-14 17:00:00-07:00,6.4,10510.0,Thriller,2013-04-01
Room 8,2013-04-23 17:00:00-07:00,8.0,762.0,Drama,2013-04-01
Drug War,2013-04-03 17:00:00-07:00,7.0,6384.0,Crime,2013-04-01
Oblivion,2013-04-18 17:00:00-07:00,7.0,347173.0,Adventure,2013-04-01
Upside Down,2013-04-30 17:00:00-07:00,6.4,53859.0,Romance,2013-04-01
Oblivion,2013-04-18 17:00:00-07:00,7.0,347173.0,Mystery,2013-04-01
Fast & Furious 6,2013-05-23 17:00:00-07:00,7.2,272492.0,Thriller,2013-05-01
Byzantium,2013-05-30 17:00:00-07:00,6.5,28072.0,Horror,2013-05-01
Fast & Furious 6,2013-05-23 17:00:00-07:00,7.2,272492.0,Crime,2013-05-01
Superman: Unbound,2013-05-22 17:00:00-07:00,6.6,6421.0,Animation,2013-05-01
Fallen City,2013-05-09 17:00:00-07:00,7.3,57.0,Family,2013-05-01
Star Trek Into Darkness,2013-05-15 17:00:00-07:00,7.8,361747.0,Sci-Fi,2013-05-01
Fallen City,2013-05-09 17:00:00-07:00,7.3,57.0,Drama,2013-05-01
Star Trek Into Darkness,2013-05-15 17:00:00-07:00,7.8,361747.0,Action,2013-05-01
Byzantium,2013-05-30 17:00:00-07:00,6.5,28072.0,Fantasy,2013-05-01
Star Trek Into Darkness,2013-05-15 17:00:00-07:00,7.8,361747.0,Adventure,2013-05-01
Dead Man's Burden,2013-05-02 17:00:00-07:00,5.3,389.0,Western,2013-05-01
Hammer of the Gods,2013-05-29 17:00:00-07:00,4.5,6593.0,History,2013-05-01
This Is the End,2013-06-11 17:00:00-07:00,6.7,280697.0,Comedy,2013-06-01
Man of Steel,2013-06-13 17:00:00-07:00,7.2,480925.0,Adventure,2013-06-01
The Closed Circuit,2013-06-30 17:00:00-07:00,6.8,739.0,Drama,2013-06-01
Ghost in the Shell Arise: Border 1 - Ghost Pain,2013-06-21 17:00:00-07:00,7.3,1537.0,Animation,2013-06-01
Ghost in the Shell Arise: Border 1 - Ghost Pain,2013-06-21 17:00:00-07:00,7.3,1537.0,Sci-Fi,2013-06-01
World War Z,2013-06-20 17:00:00-07:00,7.0,413867.0,Horror,2013-06-01
Ghost in the Shell Arise: Border 1 - Ghost Pain,2013-06-21 17:00:00-07:00,7.3,1537.0,Action,2013-06-01
The Closed Circuit,2013-06-30 17:00:00-07:00,6.8,739.0,Crime,2013-06-01
Man of Steel,2013-06-13 17:00:00-07:00,7.2,480925.0,Fantasy,2013-06-01
L'autre vie de Richard Kemp,2013-06-04 17:00:00-07:00,6.5,578.0,Thriller,2013-06-01
Cold Eyes,2013-07-02 17:00:00-07:00,7.2,2656.0,Crime,2013-07-01
Pacific Rim,2013-07-11 17:00:00-07:00,7.0,345103.0,Adventure,2013-07-01
D-Day,2013-07-18 17:00:00-07:00,7.2,4989.0,Thriller,2013-07-01
Pacific Rim,2013-07-11 17:00:00-07:00,7.0,345103.0,Sci-Fi,2013-07-01
"Secretly, Greatly",2013-07-18 17:00:00-07:00,6.8,1582.0,Comedy,2013-07-01
The Flying Man,2013-07-11 17:00:00-07:00,7.0,507.0,Short,2013-07-01
The Flying Man,2013-07-11 17:00:00-07:00,7.0,507.0,Fantasy,2013-07-01
"Secretly, Greatly",2013-07-18 17:00:00-07:00,6.8,1582.0,Drama,2013-07-01
Marianne,2013-07-02 17:00:00-07:00,4.9,388.0,Horror,2013-07-01
D-Day,2013-07-18 17:00:00-07:00,7.2,4989.0,Action,2013-07-01
The Lone Ranger,2013-07-02 17:00:00-07:00,6.5,166042.0,Western,2013-07-01
The Grandmaster,2013-08-29 17:00:00-07:00,6.5,22237.0,Biography,2013-08-01
Gold,2013-08-14 17:00:00-07:00,6.3,630.0,Western,2013-08-01
Krampus: The Christmas Devil,2013-08-16 17:00:00-07:00,2.0,347.0,Horror,2013-08-01
We're the Millers,2013-08-06 17:00:00-07:00,7.1,283212.0,Comedy,2013-08-01
Getaway,2013-08-29 17:00:00-07:00,4.4,17934.0,Thriller,2013-08-01
Top Cat: The Movie,2013-08-01 17:00:00-07:00,4.8,1353.0,Animation,2013-08-01
The Major,2013-08-07 17:00:00-07:00,7.1,1118.0,Crime,2013-08-01
Madras Cafe,2013-08-22 17:00:00-07:00,7.8,13161.0,History,2013-08-01
We're the Millers,2013-08-06 17:00:00-07:00,7.1,283212.0,Adventure,2013-08-01
The World's End,2013-08-22 17:00:00-07:00,7.0,160063.0,Sci-Fi,2013-08-01
Percy Jackson: Sea of Monsters,2013-08-06 17:00:00-07:00,5.9,78556.0,Family,2013-08-01
Spark: A Burning Man Story,2013-08-15 17:00:00-07:00,6.2,428.0,Documentary,2013-08-01
The Mortal Instruments: City of Bones,2013-08-20 17:00:00-07:00,6.0,97093.0,Fantasy,2013-08-01
Madras Cafe,2013-08-22 17:00:00-07:00,7.8,13161.0,Action,2013-08-01
Madras Cafe,2013-08-22 17:00:00-07:00,7.8,13161.0,Drama,2013-08-01
Atharintiki Daaredi,2013-09-25 17:00:00-07:00,7.4,5021.0,Comedy,2013-09-01
Riddick,2013-09-05 17:00:00-07:00,6.4,112948.0,Thriller,2013-09-01
Mr. Nobody,2013-09-25 17:00:00-07:00,7.9,123732.0,Romance,2013-09-01
Marvel One-Shot: Agent Carter,2013-09-23 17:00:00-07:00,7.6,3096.0,Adventure,2013-09-01
Marvel One-Shot: Agent Carter,2013-09-23 17:00:00-07:00,7.6,3096.0,Short,2013-09-01
Rush,2013-09-26 17:00:00-07:00,8.2,263143.0,Action,2013-09-01
Rush,2013-09-26 17:00:00-07:00,8.2,263143.0,Biography,2013-09-01
Mr. Nobody,2013-09-25 17:00:00-07:00,7.9,123732.0,Fantasy,2013-09-01
The Colony,2013-09-19 17:00:00-07:00,5.3,32014.0,Horror,2013-09-01
Unforgiven,2013-09-12 17:00:00-07:00,7.1,942.0,Crime,2013-09-01
Riddick,2013-09-05 17:00:00-07:00,6.4,112948.0,Sci-Fi,2013-09-01
Rush,2013-09-26 17:00:00-07:00,8.2,263143.0,Drama,2013-09-01
Thou Gild'st the Even,2013-10-31 17:00:00-07:00,8.1,3301.0,Romance,2013-10-01
Sweetwater,2013-10-10 17:00:00-07:00,6.2,3956.0,Western,2013-10-01
Waar,2013-10-15 17:00:00-07:00,8.5,26769.0,Drama,2013-10-01
Thou Gild'st the Even,2013-10-31 17:00:00-07:00,8.1,3301.0,Fantasy,2013-10-01
Waar,2013-10-15 17:00:00-07:00,8.5,26769.0,Thriller,2013-10-01
Walking with the Enemy,2013-10-12 17:00:00-07:00,5.4,435.0,History,2013-10-01
Transformers Prime Beast Hunters: Predacons Rising,2013-10-03 17:00:00-07:00,7.5,492.0,Animation,2013-10-01
Boss,2013-10-15 17:00:00-07:00,5.2,5617.0,Comedy,2013-10-01
Transformers Prime Beast Hunters: Predacons Rising,2013-10-03 17:00:00-07:00,7.5,492.0,Family,2013-10-01
Chinese Zodiac,2013-10-17 17:00:00-07:00,6.2,13746.0,Adventure,2013-10-01
Machete Kills,2013-10-10 17:00:00-07:00,5.6,52429.0,Crime,2013-10-01
Waar,2013-10-15 17:00:00-07:00,8.5,26769.0,Action,2013-10-01
Arrambam,2013-10-30 17:00:00-07:00,7.5,5957.0,Mystery,2013-10-01
Stalingrad,2013-10-09 17:00:00-07:00,5.6,10497.0,War,2013-10-01
Ender's Game,2013-10-31 17:00:00-07:00,6.7,167857.0,Sci-Fi,2013-10-01
Frankenstein's Army,2013-11-01 17:00:00-07:00,5.3,5811.0,Sci-Fi,2013-11-01
The Tale of The Princess Kaguya,2013-11-22 16:00:00-08:00,8.1,12516.0,Drama,2013-11-01
A Common Man,2013-11-06 16:00:00-08:00,4.7,1712.0,Thriller,2013-11-01
Thor: The Dark World,2013-11-07 16:00:00-08:00,7.1,357543.0,Adventure,2013-11-01
Homefront,2013-11-26 16:00:00-08:00,6.5,74054.0,Crime,2013-11-01
Thor: The Dark World,2013-11-07 16:00:00-08:00,7.1,357543.0,Action,2013-11-01
The Tale of The Princess Kaguya,2013-11-22 16:00:00-08:00,8.1,12516.0,Fantasy,2013-11-01
Oldboy,2013-11-26 16:00:00-08:00,5.7,44513.0,Mystery,2013-11-01
The Tale of The Princess Kaguya,2013-11-22 16:00:00-08:00,8.1,12516.0,Animation,2013-11-01
Frankenstein's Army,2013-11-01 17:00:00-07:00,5.3,5811.0,Horror,2013-11-01
The Little Ghost,2013-11-06 16:00:00-08:00,5.8,178.0,Family,2013-11-01
About Time,2013-11-07 16:00:00-08:00,7.8,170512.0,Romance,2013-11-01
Eager,2013-12-31 16:00:00-08:00,6.0,9.0,Short,2013-12-01
The Eternal Zero,2013-12-20 16:00:00-08:00,7.3,817.0,Drama,2013-12-01
The Hobbit: The Desolation of Smaug,2013-12-12 16:00:00-08:00,8.0,432062.0,Adventure,2013-12-01
Manborg,2013-12-20 16:00:00-08:00,5.7,1428.0,Comedy,2013-12-01
The Hobbit: The Desolation of Smaug,2013-12-12 16:00:00-08:00,8.0,432062.0,Fantasy,2013-12-01
The Eternal Zero,2013-12-20 16:00:00-08:00,7.3,817.0,Mystery,2013-12-01
Battle Ground,2013-12-10 16:00:00-08:00,4.8,1234.0,War,2013-12-01
The White Storm,2013-12-04 16:00:00-08:00,6.7,1357.0,Crime,2013-12-01
The Eternal Zero,2013-12-20 16:00:00-08:00,7.3,817.0,Action,2013-12-01
Firestorm,2013-12-18 16:00:00-08:00,6.3,1579.0,Thriller,2013-12-01
Eager,2013-12-31 16:00:00-08:00,6.0,9.0,Animation,2013-12-01
The Suspect,2014-01-09 16:00:00-08:00,6.9,2317.0,Thriller,2014-01-01
Once Upon a Time in Shanghai,2014-01-08 16:00:00-08:00,6.9,1232.0,Crime,2014-01-01
Lone Survivor,2014-01-09 16:00:00-08:00,7.6,177772.0,Biography,2014-01-01
JLA Adventures: Trapped in Time,2014-01-20 16:00:00-08:00,5.8,1755.0,Sci-Fi,2014-01-01
JLA Adventures: Trapped in Time,2014-01-20 16:00:00-08:00,5.8,1755.0,Animation,2014-01-01
Lauf Junge lauf,2014-01-09 16:00:00-08:00,6.5,352.0,War,2014-01-01
Miss Granny,2014-01-21 16:00:00-08:00,7.3,1076.0,Comedy,2014-01-01
Not My Day,2014-01-15 16:00:00-08:00,6.7,2326.0,Adventure,2014-01-01
Lone Survivor,2014-01-09 16:00:00-08:00,7.6,177772.0,Drama,2014-01-01
Lone Survivor,2014-01-09 16:00:00-08:00,7.6,177772.0,Action,2014-01-01
Miss Granny,2014-01-21 16:00:00-08:00,7.3,1076.0,Fantasy,2014-01-01
Miss Granny,2014-01-21 16:00:00-08:00,7.3,1076.0,Music,2014-01-01
Raze,2014-01-15 16:00:00-08:00,5.1,3795.0,Horror,2014-01-01
Non-Stop,2014-02-27 16:00:00-08:00,7.0,177395.0,Mystery,2014-02-01
The Lego Movie,2014-02-06 16:00:00-08:00,7.8,220504.0,Animation,2014-02-01
RoboCop,2014-02-11 16:00:00-08:00,6.2,166841.0,Sci-Fi,2014-02-01
Easy Money II: Hard to Kill,2014-02-13 16:00:00-08:00,6.2,4853.0,Drama,2014-02-01
In Order of Disappearance,2014-02-20 16:00:00-08:00,7.2,8229.0,Comedy,2014-02-01
The Pirate Fairy,2014-02-12 16:00:00-08:00,6.6,8786.0,Fantasy,2014-02-01
Non-Stop,2014-02-27 16:00:00-08:00,7.0,177395.0,Thriller,2014-02-01
The Patrol,2014-02-06 16:00:00-08:00,4.2,754.0,War,2014-02-01
In Order of Disappearance,2014-02-20 16:00:00-08:00,7.2,8229.0,Crime,2014-02-01
The Lego Movie,2014-02-06 16:00:00-08:00,7.8,220504.0,Adventure,2014-02-01
The Lego Movie,2014-02-06 16:00:00-08:00,7.8,220504.0,Action,2014-02-01
Xingu,2014-03-13 17:00:00-07:00,7.1,1158.0,Biography,2014-03-01
Avengers Confidential: Black Widow & Punisher,2014-03-10 17:00:00-07:00,5.8,2354.0,Animation,2014-03-01
The Gunfighter,2014-03-20 17:00:00-07:00,8.1,633.0,Comedy,2014-03-01
The Gunfighter,2014-03-20 17:00:00-07:00,8.1,633.0,Western,2014-03-01
Xingu,2014-03-13 17:00:00-07:00,7.1,1158.0,Adventure,2014-03-01
Prospect,2014-03-25 17:00:00-07:00,7.4,148.0,Action,2014-03-01
The Portal,2014-03-21 17:00:00-07:00,8.0,187.0,Fantasy,2014-03-01
Kenau,2014-03-05 16:00:00-08:00,6.5,712.0,History,2014-03-01
Prospect,2014-03-25 17:00:00-07:00,7.4,148.0,Drama,2014-03-01
Avengers Confidential: Black Widow & Punisher,2014-03-10 17:00:00-07:00,5.8,2354.0,Sci-Fi,2014-03-01
Need for Speed,2014-03-13 17:00:00-07:00,6.6,123751.0,Crime,2014-03-01
The Gunfighter,2014-03-20 17:00:00-07:00,8.1,633.0,Short,2014-03-01
Let's Sin,2014-04-17 17:00:00-07:00,8.1,3587.0,Action,2014-04-01
Captain America: The Winter Soldier,2014-04-03 17:00:00-07:00,7.8,398260.0,Sci-Fi,2014-04-01
Last Passenger,2014-04-24 17:00:00-07:00,5.6,3341.0,Mystery,2014-04-01
Song 'e Napule,2014-04-16 17:00:00-07:00,7.0,245.0,Comedy,2014-04-01
The Retrieval,2014-04-01 17:00:00-07:00,6.5,1557.0,History,2014-04-01
The Raid 2,2014-04-10 17:00:00-07:00,8.0,73217.0,Thriller,2014-04-01
Short Peace,2014-04-17 17:00:00-07:00,7.0,502.0,Fantasy,2014-04-01
The Retrieval,2014-04-01 17:00:00-07:00,6.5,1557.0,Western,2014-04-01
Let's Sin,2014-04-17 17:00:00-07:00,8.1,3587.0,Drama,2014-04-01
Captain America: The Winter Soldier,2014-04-03 17:00:00-07:00,7.8,398260.0,Adventure,2014-04-01
Short Peace,2014-04-17 17:00:00-07:00,7.0,502.0,Animation,2014-04-01
Let's Sin,2014-04-17 17:00:00-07:00,8.1,3587.0,Crime,2014-04-01
Dead Sea,2014-04-14 17:00:00-07:00,4.0,1478.0,Horror,2014-04-01
Cargo,2014-05-22 17:00:00-07:00,7.7,880.0,Short,2014-05-01
X-Men: Days of Future Past,2014-05-22 17:00:00-07:00,8.1,436254.0,Action,2014-05-01
#chicagoGirl: The Social Network Takes on a Dictator,2014-05-17 17:00:00-07:00,7.1,77.0,Documentary,2014-05-01
A Million Ways to Die in the West,2014-05-29 17:00:00-07:00,6.1,119185.0,Western,2014-05-01
A Million Ways to Die in the West,2014-05-29 17:00:00-07:00,6.1,119185.0,Comedy,2014-05-01
X-Men: Days of Future Past,2014-05-22 17:00:00-07:00,8.1,436254.0,Adventure,2014-05-01
Son of Batman,2014-05-05 17:00:00-07:00,6.6,9084.0,Animation,2014-05-01
Heropanti,2014-05-22 17:00:00-07:00,5.5,3561.0,Romance,2014-05-01
Cargo,2014-05-22 17:00:00-07:00,7.7,880.0,Drama,2014-05-01
Cargo,2014-05-22 17:00:00-07:00,7.7,880.0,Fantasy,2014-05-01
Maleficent,2014-05-29 17:00:00-07:00,7.0,220651.0,Family,2014-05-01
X-Men: Days of Future Past,2014-05-22 17:00:00-07:00,8.1,436254.0,Sci-Fi,2014-05-01
22 Jump Street,2014-06-12 17:00:00-07:00,7.1,219091.0,Crime,2014-06-01
The Nostalgist,2014-06-18 17:00:00-07:00,7.8,26.0,Short,2014-06-01
22 Jump Street,2014-06-12 17:00:00-07:00,7.1,219091.0,Comedy,2014-06-01
Edge of Tomorrow,2014-06-05 17:00:00-07:00,7.9,357609.0,Action,2014-06-01
Rigor Mortis,2014-06-05 17:00:00-07:00,6.3,3455.0,Horror,2014-06-01
The Last Survivors,2014-06-11 17:00:00-07:00,5.2,1447.0,Thriller,2014-06-01
The Nostalgist,2014-06-18 17:00:00-07:00,7.8,26.0,Fantasy,2014-06-01
Edge of Tomorrow,2014-06-05 17:00:00-07:00,7.9,357609.0,Adventure,2014-06-01
How to Train Your Dragon 2,2014-06-12 17:00:00-07:00,7.9,186385.0,Animation,2014-06-01
Holiday,2014-06-05 17:00:00-07:00,7.4,9978.0,Drama,2014-06-01
Holiday,2014-06-05 17:00:00-07:00,7.4,9978.0,Mystery,2014-06-01
The Homesman,2014-06-25 17:00:00-07:00,6.6,16810.0,Western,2014-06-01
Edge of Tomorrow,2014-06-05 17:00:00-07:00,7.9,357609.0,Sci-Fi,2014-06-01
Qissa: The Tale of a Lonely Ghost,2014-07-09 17:00:00-07:00,6.5,325.0,Fantasy,2014-07-01
Batman: Assault on Arkham,2014-07-28 17:00:00-07:00,7.4,12177.0,Animation,2014-07-01
Batman: Assault on Arkham,2014-07-28 17:00:00-07:00,7.4,12177.0,Crime,2014-07-01
Kick,2014-07-24 17:00:00-07:00,5.6,14033.0,Comedy,2014-07-01
Guardians of the Galaxy,2014-07-31 17:00:00-07:00,8.1,539583.0,Action,2014-07-01
Dawn of the Planet of the Apes,2014-07-10 17:00:00-07:00,7.7,276188.0,Drama,2014-07-01
Kick,2014-07-24 17:00:00-07:00,5.6,14033.0,Romance,2014-07-01
The Purge: Anarchy,2014-07-17 17:00:00-07:00,6.5,71787.0,Horror,2014-07-01
Guardians of the Galaxy,2014-07-31 17:00:00-07:00,8.1,539583.0,Sci-Fi,2014-07-01
Lucy,2014-07-24 17:00:00-07:00,6.4,275454.0,Thriller,2014-07-01
Guardians of the Galaxy,2014-07-31 17:00:00-07:00,8.1,539583.0,Adventure,2014-07-01
Wer,2014-08-18 17:00:00-07:00,5.9,4762.0,Mystery,2014-08-01
Wer,2014-08-18 17:00:00-07:00,5.9,4762.0,Horror,2014-08-01
Saints and Soldiers: The Void,2014-08-14 17:00:00-07:00,5.0,1224.0,War,2014-08-01
14 Blades,2014-08-21 17:00:00-07:00,6.4,5496.0,History,2014-08-01
Cafè. Waiting. Love,2014-08-14 17:00:00-07:00,6.8,462.0,Fantasy,2014-08-01
Dragon Ball Z: Battle of Gods,2014-08-04 17:00:00-07:00,7.3,16046.0,Comedy,2014-08-01
Mardaani,2014-08-21 17:00:00-07:00,7.5,5601.0,Thriller,2014-08-01
Dragon Ball Z: Battle of Gods,2014-08-04 17:00:00-07:00,7.3,16046.0,Animation,2014-08-01
The Expendables 3,2014-08-14 17:00:00-07:00,6.1,107172.0,Adventure,2014-08-01
The Zero Theorem,2014-08-18 17:00:00-07:00,6.1,28696.0,Sci-Fi,2014-08-01
Mardaani,2014-08-21 17:00:00-07:00,7.5,5601.0,Drama,2014-08-01
Yasmine,2014-08-15 17:00:00-07:00,7.6,51.0,Action,2014-08-01
Bag Man,2014-09-09 17:00:00-07:00,7.6,47.0,Short,2014-09-01
Rurèni Kenshin: Densetsu no saigo-hen,2014-09-12 17:00:00-07:00,7.6,3717.0,Action,2014-09-01
The Equalizer,2014-09-25 17:00:00-07:00,7.2,193028.0,Thriller,2014-09-01
Rurèni Kenshin: Densetsu no saigo-hen,2014-09-12 17:00:00-07:00,7.6,3717.0,Adventure,2014-09-01
The Mysterious Death of Pèrola,2014-09-30 17:00:00-07:00,7.1,14.0,Fantasy,2014-09-01
Plastic,2014-09-25 17:00:00-07:00,6.0,4928.0,Comedy,2014-09-01
The Mysterious Death of Pèrola,2014-09-30 17:00:00-07:00,7.1,14.0,Mystery,2014-09-01
Snow on the Blades,2014-09-19 17:00:00-07:00,6.8,70.0,History,2014-09-01
Rurèni Kenshin: Densetsu no saigo-hen,2014-09-12 17:00:00-07:00,7.6,3717.0,Drama,2014-09-01
Cèdigo Paz,2014-09-17 17:00:00-07:00,7.3,202.0,Crime,2014-09-01
The Maze Runner,2014-09-18 17:00:00-07:00,6.8,242220.0,Sci-Fi,2014-09-01
Field of Lost Shoes,2014-09-25 17:00:00-07:00,5.6,713.0,War,2014-09-01
The Redwood Massacre,2014-09-27 17:00:00-07:00,3.8,1328.0,Horror,2014-09-01
Horns,2014-10-02 17:00:00-07:00,6.5,43055.0,Fantasy,2014-10-01
Automata,2014-10-16 17:00:00-07:00,6.1,33950.0,Sci-Fi,2014-10-01
'71,2014-10-09 17:00:00-07:00,7.2,24645.0,Thriller,2014-10-01
Fury,2014-10-16 17:00:00-07:00,7.6,246066.0,War,2014-10-01
Fury,2014-10-16 17:00:00-07:00,7.6,246066.0,Action,2014-10-01
Dead Snow 2: Red vs. Dead,2014-10-06 17:00:00-07:00,7.0,12603.0,Comedy,2014-10-01
Roar,2014-10-30 17:00:00-07:00,5.7,521.0,Adventure,2014-10-01
Dead Snow 2: Red vs. Dead,2014-10-06 17:00:00-07:00,7.0,12603.0,Horror,2014-10-01
Fury,2014-10-16 17:00:00-07:00,7.6,246066.0,Drama,2014-10-01
Happy New Year,2014-10-23 17:00:00-07:00,5.5,21270.0,Crime,2014-10-01
Rise of the Legend,2014-11-20 16:00:00-08:00,6.4,1003.0,Biography,2014-11-01
Big Hero 6,2014-11-06 16:00:00-08:00,7.9,210576.0,Action,2014-11-01
Big Hero 6,2014-11-06 16:00:00-08:00,7.9,210576.0,Animation,2014-11-01
Big Hero 6,2014-11-06 16:00:00-08:00,7.9,210576.0,Adventure,2014-11-01
Northpole,2014-11-14 16:00:00-08:00,6.5,508.0,Fantasy,2014-11-01
Why Don't You Play in Hell?,2014-11-06 16:00:00-08:00,7.3,3318.0,Comedy,2014-11-01
Turks & Caicos,2014-11-08 16:00:00-08:00,6.6,2812.0,Mystery,2014-11-01
Halo: Nightfall,2014-11-10 16:00:00-08:00,5.7,2640.0,Sci-Fi,2014-11-01
Why Don't You Play in Hell?,2014-11-06 16:00:00-08:00,7.3,3318.0,Drama,2014-11-01
Son of a Gun,2014-12-10 16:00:00-08:00,6.5,14222.0,Drama,2014-12-01
Son of a Gun,2014-12-10 16:00:00-08:00,6.5,14222.0,Crime,2014-12-01
Song of the Sea,2014-12-09 16:00:00-08:00,8.2,14885.0,Family,2014-12-01
The Interview,2014-12-23 16:00:00-08:00,6.7,217029.0,Comedy,2014-12-01
Song of the Sea,2014-12-09 16:00:00-08:00,8.2,14885.0,Animation,2014-12-01
Exodus: Gods and Kings,2014-12-11 16:00:00-08:00,6.1,104597.0,Biography,2014-12-01
Saphirblau,2014-12-17 16:00:00-08:00,6.5,1114.0,Mystery,2014-12-01
The Hobbit: The Battle of the Five Armies,2014-12-16 16:00:00-08:00,7.5,288968.0,Adventure,2014-12-01
The Interview,2014-12-23 16:00:00-08:00,6.7,217029.0,Action,2014-12-01
Into the Woods,2014-12-24 16:00:00-08:00,6.0,82172.0,Musical,2014-12-01
Song of the Sea,2014-12-09 16:00:00-08:00,8.2,14885.0,Fantasy,2014-12-01
Queen of the Mountains,2015-01-05 16:00:00-08:00,8.6,3106.0,Drama,2015-01-01
Taken 3,2015-01-08 16:00:00-08:00,6.0,105617.0,Thriller,2015-01-01
Racing Extinction,2015-01-23 16:00:00-08:00,7.9,83.0,Documentary,2015-01-01
Afflicted,2015-01-26 16:00:00-08:00,6.3,14152.0,Horror,2015-01-01
Darkness on the Edge of Town,2015-01-24 16:00:00-08:00,8.0,72.0,Crime,2015-01-01
Queen of the Mountains,2015-01-05 16:00:00-08:00,8.6,3106.0,Action,2015-01-01
Queen of the Mountains,2015-01-05 16:00:00-08:00,8.6,3106.0,Biography,2015-01-01
The Master Plan,2015-01-15 16:00:00-08:00,5.7,885.0,Comedy,2015-01-01
Racing Extinction,2015-01-23 16:00:00-08:00,7.9,83.0,Adventure,2015-01-01
Darkness on the Edge of Town,2015-01-24 16:00:00-08:00,8.0,72.0,Western,2015-01-01
The Salvation,2015-02-26 16:00:00-08:00,6.8,16357.0,Western,2015-02-01
The Real Miyagi,2015-02-19 16:00:00-08:00,9.3,41.0,History,2015-02-01
"Liza, the Fox-Fairy",2015-02-18 16:00:00-08:00,8.2,1799.0,Fantasy,2015-02-01
The Salvation,2015-02-26 16:00:00-08:00,6.8,16357.0,Drama,2015-02-01
"Liza, the Fox-Fairy",2015-02-18 16:00:00-08:00,8.2,1799.0,Romance,2015-02-01
Jupiter Ascending,2015-02-05 16:00:00-08:00,5.5,106083.0,Sci-Fi,2015-02-01
Kingsman: The Secret Service,2015-02-12 16:00:00-08:00,7.8,271917.0,Adventure,2015-02-01
The Real Miyagi,2015-02-19 16:00:00-08:00,9.3,41.0,Documentary,2015-02-01
"Liza, the Fox-Fairy",2015-02-18 16:00:00-08:00,8.2,1799.0,Comedy,2015-02-01
The Real Miyagi,2015-02-19 16:00:00-08:00,9.3,41.0,Action,2015-02-01
Digging Up the Marrow,2015-02-19 16:00:00-08:00,5.8,2081.0,Biography,2015-02-01
Becoming Bulletproof,2015-03-25 17:00:00-07:00,7.6,22.0,Western,2015-03-01
Cinderella,2015-03-12 17:00:00-07:00,7.1,68498.0,Fantasy,2015-03-01
Violet,2015-03-26 17:00:00-07:00,7.0,58.0,Romance,2015-03-01
Avenged,2015-03-05 16:00:00-08:00,5.7,1636.0,Horror,2015-03-01
Cinderella,2015-03-12 17:00:00-07:00,7.1,68498.0,Family,2015-03-01
Becoming Bulletproof,2015-03-25 17:00:00-07:00,7.6,22.0,Documentary,2015-03-01
Avenged,2015-03-05 16:00:00-08:00,5.7,1636.0,Action,2015-03-01
Cinderella,2015-03-12 17:00:00-07:00,7.1,68498.0,Drama,2015-03-01
Tracers,2015-03-19 17:00:00-07:00,5.5,9246.0,Crime,2015-03-01
Eva,2015-03-12 17:00:00-07:00,6.7,6778.0,Sci-Fi,2015-03-01
Sam,2015-03-31 17:00:00-07:00,6.9,21.0,Comedy,2015-03-01
Lost River,2015-04-09 17:00:00-07:00,5.8,7547.0,Mystery,2015-04-01
Avengers: Age of Ultron,2015-04-30 17:00:00-07:00,7.8,282723.0,Adventure,2015-04-01
Wolf Warrior,2015-04-05 17:00:00-07:00,5.6,720.0,War,2015-04-01
Avengers: Age of Ultron,2015-04-30 17:00:00-07:00,7.8,282723.0,Action,2015-04-01
Welcome to Happiness,2015-04-26 17:00:00-07:00,8.2,34.0,Comedy,2015-04-01
Furious 7,2015-04-02 17:00:00-07:00,7.4,211346.0,Thriller,2015-04-01
Welcome to Happiness,2015-04-26 17:00:00-07:00,8.2,34.0,Drama,2015-04-01
